store_id,product_id,quantity_on_hand,reorder_point,snapshot_date
S001,P1001,163,13,2025-05-31
S001,P1002,6,18,2025-05-31
S001,P1003,62,17,2025-05-31
S001,P1004,35,13,2025-05-31
S001,P1005,173,27,2025-05-31
S001,P1006,22,28,2025-05-31
S001,P1007,108,11,2025-05-31
S001,P1008,7,12,2025-05-31
S002,P1001,55,17,2025-05-31
S002,P1002,129,29,2025-05-31
S002,P1003,6,27,2025-05-31
S002,P1004,50,30,2025-05-31
S002,P1005,179,27,2025-05-31
S002,P1006,107,17,2025-05-31
S002,P1007,114,28,2025-05-31
S002,P1008,71,10,2025-05-31
S003,P1001,194,15,2025-05-31
S003,P1002,178,23,2025-05-31
S003,P1003,87,18,2025-05-31
S003,P1004,39,16,2025-05-31
S003,P1005,195,20,2025-05-31
S003,P1006,26,12,2025-05-31
S003,P1007,97,13,2025-05-31
S003,P1008,91,21,2025-05-31
S004,P1001,154,18,2025-05-31
S004,P1002,11,24,2025-05-31
S004,P1003,137,13,2025-05-31
S004,P1004,96,12,2025-05-31
S004,P1005,141,19,2025-05-31
S004,P1006,160,29,2025-05-31
S004,P1007,92,28,2025-05-31
S004,P1008,49,12,2025-05-31
S005,P1001,11,17,2025-05-31
S005,P1002,197,19,2025-05-31
S005,P1003,20,17,2025-05-31
S005,P1004,25,22,2025-05-31
S005,P1005,71,24,2025-05-31
S005,P1006,162,21,2025-05-31
S005,P1007,41,21,2025-05-31
S005,P1008,90,16,2025-05-31
