Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,US-2019-100000,2020-03-26,2020-04-03,First Class,CG-10000,Customer 0,Corporate,United States,City 0,State 0,10000,East,FUR-OFF-1000,Office Supplies,Storage,Storage 0,4861.22,6,0.35,351.79
2,US-2020-100001,2019-01-13,2019-01-18,First Class,CG-10001,Customer 1,Corporate,United States,City 1,State 1,10001,West,FUR-FUR-1001,Furniture,Furnishings,Furnishings 1,2623.15,10,0.1,503.71
3,US-2021-100002,2021-09-10,2021-09-13,First Class,CG-10002,Customer 2,Corporate,United States,City 2,State 2,10002,South,FUR-FUR-1002,Furniture,Chairs,Chairs 2,4672.34,2,0.26,994.48
4,US-2022-100003,2021-10-12,2021-10-16,Second Class,CG-10003,Customer 3,Consumer,United States,City 3,State 3,10003,South,FUR-FUR-1003,Furniture,Bookcases,Bookcases 3,4416.78,1,0.35,337.12
5,US-2019-100004,2020-11-23,2020-11-25,Same Day,CG-10004,Customer 4,Corporate,United States,City 4,State 4,10004,West,FUR-FUR-1004,Furniture,Chairs,Chairs 4,3484.55,2,0.25,628.67
6,US-2020-100005,2022-03-11,2022-03-19,Standard Class,CG-10005,Customer 5,Corporate,United States,City 5,State 5,10005,East,FUR-FUR-1005,Furniture,Tables,Tables 5,1822.64,5,0.12,308.45
7,US-2021-100006,2020-10-17,2020-10-21,First Class,CG-10006,Customer 6,Corporate,United States,City 6,State 6,10006,Central,FUR-TEC-1006,Technology,Copiers,Copiers 6,4168.8,10,0.31,426.18
8,US-2022-100007,2020-04-20,2020-04-21,Second Class,CG-10007,Customer 7,Consumer,United States,City 7,State 7,10007,South,FUR-OFF-1007,Office Supplies,Appliances,Appliances 7,2773.48,10,0.24,398.76
9,US-2019-100008,2020-12-02,2020-12-03,First Class,CG-10008,Customer 8,Home Office,United States,City 8,State 8,10008,South,FUR-OFF-1008,Office Supplies,Appliances,Appliances 8,4843.01,10,0.14,581.27
10,US-2020-100009,2022-02-05,2022-02-12,First Class,CG-10009,Customer 9,Home Office,United States,City 9,State 9,10009,Central,FUR-OFF-1009,Office Supplies,Appliances,Appliances 9,1711.78,3,0.31,256.61
11,US-2021-100010,2021-04-16,2021-04-22,First Class,CG-10010,Customer 10,Home Office,United States,City 10,State 10,10010,South,FUR-FUR-1010,Furniture,Tables,Tables 10,1473.97,4,0.26,200.68
12,US-2022-100011,2019-08-05,2019-08-13,Same Day,CG-10011,Customer 11,Consumer,United States,City 11,State 11,10011,East,FUR-TEC-1011,Technology,Accessories,Accessories 11,2883.65,1,0.25,239.67
13,US-2019-100012,2022-01-05,2022-01-07,Same Day,CG-10012,Customer 12,Consumer,United States,City 12,State 12,10012,Central,FUR-TEC-1012,Technology,Machines,Machines 12,2259.38,7,0.24,324.17
14,US-2020-100013,2020-09-10,2020-09-18,First Class,CG-10013,Customer 13,Corporate,United States,City 13,State 13,10013,Central,FUR-OFF-1013,Office Supplies,Art,Art 13,4996.39,2,0.06,1242.14
15,US-2021-100014,2019-01-03,2019-01-09,Same Day,CG-10014,Customer 14,Consumer,United States,City 14,State 14,10014,East,FUR-OFF-1014,Office Supplies,Binders,Binders 14,1867.64,3,0.29,316.72
16,US-2022-100015,2019-12-10,2019-12-15,Standard Class,CG-10015,Customer 15,Corporate,United States,City 15,State 15,10015,South,FUR-FUR-1015,Furniture,Bookcases,Bookcases 15,3672.27,1,0.01,641.06
17,US-2019-100016,2022-04-06,2022-04-08,Standard Class,CG-10016,Customer 16,Corporate,United States,City 16,State 16,10016,South,FUR-TEC-1016,Technology,Accessories,Accessories 16,4649.59,6,0.08,1066.45
18,US-2020-100017,2020-10-16,2020-10-22,Second Class,CG-10017,Customer 17,Consumer,United States,City 17,State 17,10017,West,FUR-TEC-1017,Technology,Copiers,Copiers 17,3233.35,9,0.23,424.32
